,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr,CLIPScore
BLEU-1,1.0,0.8734,0.7218,0.6125,0.6891,0.7856,0.6155,0.5096
BLEU-2,0.8734,1.0,0.9058,0.7951,0.7851,0.8306,0.7131,0.499
BLEU-3,0.7218,0.9058,1.0,0.9331,0.75,0.7828,0.7454,0.446
BLEU-4,0.6125,0.7951,0.9331,1.0,0.6721,0.7089,0.7288,0.3864
METEOR,0.6891,0.7851,0.75,0.6721,1.0,0.8767,0.7244,0.4953
ROUGE-L,0.7856,0.8306,0.7828,0.7089,0.8767,1.0,0.7356,0.5401
CIDEr,0.6155,0.7131,0.7454,0.7288,0.7244,0.7356,1.0,0.5365
CLIPScore,0.5096,0.499,0.446,0.3864,0.4953,0.5401,0.5365,1.0
