,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr,CLIPScore,polos
BLEU-1,1.0,0.8762623588423103,0.7670992376854397,0.7374640031679244,0.6963240056787122,0.7705913928597622,0.7353064828209249,0.5098407322594328,0.6163258810235276
BLEU-2,0.8762623588423103,1.0,0.9379770983628392,0.9069150175534098,0.7899352324519319,0.8222747326808937,0.7838078164010763,0.4966431346795291,0.6134520638599027
BLEU-3,0.7670992376854397,0.9379770983628392,1.0,0.986214860781244,0.7868758897595912,0.802517273908885,0.7650892312221093,0.45804870820303556,0.5793342449138635
BLEU-4,0.7374640031679244,0.9069150175534098,0.986214860781244,1.0,0.7681663200451271,0.7917490335148164,0.7455698051553491,0.4508467966871433,0.5634397887605288
METEOR,0.6963240056787122,0.7899352324519319,0.7868758897595912,0.7681663200451271,1.0,0.8576353877939,0.7494422854926547,0.4900075129968467,0.5938822068491055
ROUGE-L,0.7705913928597622,0.8222747326808937,0.802517273908885,0.7917490335148164,0.8576353877939,1.0,0.7774935875960992,0.5354485533802158,0.6314886683157476
CIDEr,0.7353064828209249,0.7838078164010763,0.7650892312221093,0.7455698051553491,0.7494422854926547,0.7774935875960992,1.0,0.6091766251766252,0.7123694323694324
CLIPScore,0.5098407322594328,0.4966431346795291,0.45804870820303556,0.4508467966871433,0.4900075129968467,0.5354485533802158,0.6091766251766252,1.0,0.8164806124806124
polos,0.6163258810235276,0.6134520638599027,0.5793342449138635,0.5634397887605288,0.5938822068491055,0.6314886683157476,0.7123694323694324,0.8164806124806124,1.0
