,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr,CLIPScore,polos
BLEU-1,1.0,0.8734461979251356,0.7217567846069978,0.6125453102442678,0.689089140958609,0.7855584572522024,0.615466073892687,0.5096028711958124,0.6341815168730277
BLEU-2,0.8734461979251356,1.0,0.9058351431539227,0.7951451568771057,0.7850937479030493,0.8306083402767614,0.7131186722160514,0.49895999725302204,0.6399022624651213
BLEU-3,0.7217567846069978,0.9058351431539227,1.0,0.933069022041068,0.7500292271510425,0.782812892497071,0.7453833663741956,0.44603595527122747,0.586670933379185
BLEU-4,0.6125453102442678,0.7951451568771057,0.933069022041068,1.0,0.6721343457969797,0.7088805181346509,0.7288467546303713,0.38638615553734035,0.5086956783868499
METEOR,0.689089140958609,0.7850937479030493,0.7500292271510425,0.6721343457969797,1.0,0.876677188261117,0.7243898951784927,0.49527147923227094,0.6287259469627821
ROUGE-L,0.7855584572522024,0.8306083402767614,0.782812892497071,0.7088805181346509,0.876677188261117,1.0,0.7355893683652305,0.5401313476570218,0.6681382850571462
CIDEr,0.615466073892687,0.7131186722160514,0.7453833663741956,0.7288467546303713,0.7243898951784927,0.7355893683652305,1.0,0.5364997853755761,0.6678239589769499
CLIPScore,0.5096028711958124,0.49895999725302204,0.44603595527122747,0.38638615553734035,0.49527147923227094,0.5401313476570218,0.5364997853755761,1.0,0.8034978903309755
polos,0.6341815168730277,0.6399022624651213,0.586670933379185,0.5086956783868499,0.6287259469627821,0.6681382850571462,0.6678239589769499,0.8034978903309755,1.0
