perturbation_type,n,mean_delta_BLEU-1,median_delta_BLEU-1,mean_delta_BLEU-2,median_delta_BLEU-2,mean_delta_BLEU-3,median_delta_BLEU-3,mean_delta_BLEU-4,median_delta_BLEU-4,mean_delta_METEOR,median_delta_METEOR,mean_delta_ROUGE-L,median_delta_ROUGE-L,mean_delta_CIDEr,median_delta_CIDEr,mean_delta_CLIPScore,median_delta_CLIPScore,mean_delta_polos,median_delta_polos
object_replacement,28,-0.0763963275741772,-0.08012820512820512,-0.09329662047302124,-0.09680060966215506,-0.06788872835922519,-0.055740393627696366,-0.058410681067456664,-0.021481018530476167,-0.09435881752589471,-0.08999167688452464,-0.06917295592734929,-0.08166666666666664,-0.2875254564891948,-0.20422944121250772,-0.08256762155464717,-0.07745258510112768,-0.18458898312279157,-0.16709595918655396
person_replacement,39,-0.073280662071052,-0.07692307692307676,-0.09493683562950518,-0.07657496066212732,-0.06678259647214944,-0.03722795896542358,-0.048956819895763344,-0.016534446195240096,-0.06829689749009714,-0.06006944444444451,-0.06106020562542095,-0.06516290726817037,-0.15225858431937556,-0.08293062353731817,-0.05261975030104319,-0.03941752016544342,-0.11131081061485486,-0.11259359121322632
color_replacement,18,-0.04856931969427529,-0.06422707381386317,-0.06809126920691583,-0.027437601419059765,-0.06528475667067482,-0.014034676172154398,-0.04071553633475152,-0.005767366024472753,-0.0561719183812262,-0.01715927149548352,-0.036515429801286886,-0.0192307692307693,-0.12650968044795796,-0.037419436139901896,-0.030603454344802425,-0.028138309717178345,-0.0836595313416587,-0.06978087127208712
action_replacement,13,-0.08104868359393244,-0.07692307692307676,-0.07854984168292896,-0.06796895949743742,-0.08732380981606239,-0.0237082156593853,-0.06568487886708677,-0.015721622849353994,-0.09247211944910205,-0.07516129032258062,-0.056215887029124126,-0.05846153846153834,-0.17325035856438073,-0.08944157135536956,-0.05337313963816715,-0.030252709984779358,-0.09221231937408447,-0.09382218122482311
negation,30,-0.041867698376133425,-0.03560606060606056,-0.04829300877898952,-0.029399363831489583,-0.04938269270733797,-0.015860776125056153,-0.04030700640249871,-0.009017800175057211,-0.01758571913785386,-0.005985021677642199,-0.022902299921036078,-0.021348826611984506,-0.17107369138241593,-0.08645533602566763,-0.02307232593496639,-0.016907379031181335,-0.061626991629600524,-0.061912328004837036
hallucination,100,-0.049171740384175724,-0.051754308031712104,-0.04774098771246635,-0.04367586207875415,-0.03679605832462002,-0.0270992959268583,-0.030272288558273977,-0.017329319224362996,-0.013168466233632192,-0.012220525691367612,-0.050001888195304316,-0.05217391304347824,-0.21035040076243017,-0.12734571858390853,-0.03265915811061859,-0.031050965189933777,-0.12566637128591537,-0.11547464132308963
