Metric,Pearson_Correlation,Low_Threshold,High_Threshold,High_CLIP_Low_Metric,Low_CLIP_High_Metric
BLEU-4,0.38638615553734035,0.0449412542808265,0.194659970340963,9,19
BLEU-3,0.44603595527122736,0.0704495119733688,0.3547458529925959,10,6
METEOR,0.49527147923227083,0.2100840336134454,0.49592854941329284,6,10
BLEU-2,0.49895999725302215,0.18159037838550013,0.5175491695067657,11,4
BLEU-1,0.5096028711958123,0.3636363636363636,0.7142857142857143,4,6
CIDEr,0.5364997853755761,0.02864067421905141,0.6313033043972469,3,4
ROUGE-L,0.5401313476570216,0.3,0.5333333333333333,1,5
